Truck Name,Date,Distance,Average Speed,,Truck Name,Total KM,,Truck Name,Days Worked,,Average KM,Truck Name,Days Worked < 100km,
King,01/06/2025,0,,0,Anvil,15510.57,,Anvil,365,,42,Anvil,320,88%
King,02/06/2025,107.14,25.07/h,,Barbara Taipan,18230.38,,Barbara Taipan,365,,50,Barbara Taipan,308,84%
King,03/06/2025,0,34.14/h,,Birdman,13998.12,,Birdman,365,,38,Birdman,344,94%
King,04/06/2025,0,12.01/h,,Cuddles,13956.74,,Cuddles,365,,38,Cuddles,318,87%
King,05/06/2025,99.46,13.31/h,,Cuzz,33303.61,,Cuzz,365,,91,Cuzz,210,58%
King,06/06/2025,259.71,20.98/h,,Dancer,15672.89,,Dancer,365,,43,Dancer,312,85%
King,07/06/2025,61.96,29.56/h,,Dingo,16698.98,,Dingo,365,,46,Dingo,318,87%
King,08/06/2025,0,23.12/h,,Double O,25753.93,,Double O,291,,89,Double O,260,89%
King,09/06/2025,3.02,18.81/h,,Hammers,16118.41,,Hammers,365,,44,Hammers,321,88%
King,10/06/2025,119.67,,,Hook,13511.36,,Hook,365,,37,Hook,323,88%
King,11/06/2025,37.09,,,Kevin,16943.4,,Kevin,365,,46,Kevin,322,88%
King,12/06/2025,29.34,,,King,18392.41,,King,365,,50,King,311,85%
King,13/06/2025,18.6,,,Lumberjack,18669.68,,Lumberjack,365,,51,Lumberjack,311,85%
King,14/06/2025,36.81,,,Maxi Taxi,18394.64,,Maxi Taxi,365,,50,Maxi Taxi,309,85%
King,15/06/2025,0,11.68/h,,Mic Mac,18688.91,,Mic Mac,365,,51,Mic Mac,320,88%
King,16/06/2025,84.21,21.94/h,,Mullet,31660.89,,Mullet,365,,87,Mullet,214,59%
King,17/06/2025,89.7,20.04/h,,Noodles,15904.02,,Noodles,365,,44,Noodles,323,88%
King,18/06/2025,35.95,,,Pepperoni,18540.48,,Pepperoni,365,,51,Pepperoni,314,86%
King,19/06/2025,93.28,28.91/h,,Popeye,15260.31,,Popeye,365,,42,Popeye,331,91%
King,20/06/2025,142.03,30.51/h,,Q-Tip,28542.96,,Q-Tip,365,,78,Q-Tip,233,64%
King,21/06/2025,90.45,11.17/h,,Ramen,16585.21,,Ramen,365,,45,Ramen,309,85%
King,22/06/2025,0,16.10/h,,Ripley,14357.58,,Ripley,365,,39,Ripley,329,90%
King,23/06/2025,55.04,15.17/h,,Road Knight,30842.54,,Road Knight,365,,85,Road Knight,216,59%
King,24/06/2025,46.79,33.12/h,,Shredz,14237.24,,Shredz,338,,42,Shredz,297,88%
King,25/06/2025,30.1,,,Slasha,20506.97,,Slasha,365,,56,Slasha,301,82%
King,26/06/2025,24.49,,,Stingray,16421.37,,Stingray,363,,45,Stingray,319,88%
King,27/06/2025,18.7,67.35/h,,Yoda,16275.98,,Yoda,365,,45,Yoda,321,88%
King,28/06/2025,103.4,19.24/h,,,,,,,,,,,
King,29/06/2025,0,11.74/h,,,,,,,,,,,
King,30/06/2025,32.8,29.85/h,,,,,,,,,,,
King,01/07/2025,119.25,14.13/h,,,,,,,,,,,
King,02/07/2025,38.02,,,,,,,,,,,,
King,03/07/2025,43.3,,,,,,,,,,,,
King,04/07/2025,27.45,,,,,,,,,,,,
King,05/07/2025,0,16.45/h,,,,,,,,,,,
King,06/07/2025,137.03,,,,,,,,,,,,
King,07/07/2025,36.8,23.07/h,,,,,,,,,,,
King,08/07/2025,83.97,16.17/h,,,,,,,,,,,
King,09/07/2025,33.07,,,,,,,,,,,,
King,10/07/2025,21.48,25.29/h,,,,,,,,,,,
King,11/07/2025,42.96,19.84/h,,,,,,,,,,,
King,12/07/2025,59.77,24.14/h,,,,,,,,,,,
King,13/07/2025,0,19.33/h,,,,,,,,,,,
King,14/07/2025,28.44,22.73/h,,,,,,,,,,,
King,15/07/2025,43.89,18.64/h,,,,,,,,,,,
King,16/07/2025,55.49,,,,,,,,,,,,
King,17/07/2025,88.56,22.89/h,,,,,,,,,,,
King,18/07/2025,98.94,23.43/h,,,,,,,,,,,
King,19/07/2025,83.07,21.54/h,,,,,,,,,,,
King,20/07/2025,0,11.46/h,,,,,,,,,,,
King,21/07/2025,30.69,19.26/h,,,,,,,,,,,
King,22/07/2025,134.75,,,,,,,,,,,,
King,23/07/2025,170.2,,,,,,,,,,,,
King,24/07/2025,2.96,15.53/h,,,,,,,,,,,
King,25/07/2025,240.43,4.93/h,,,,,,,,,,,
King,26/07/2025,44.44,17.70/h,,,,,,,,,,,
King,27/07/2025,0,19.94/h,,,,,,,,,,,
King,28/07/2025,46.8,17.88/h,,,,,,,,,,,
King,29/07/2025,0.06,,,,,,,,,,,,
King,30/07/2025,0.05,,,,,,,,,,,,
King,31/07/2025,0,20.25/h,,,,,,,,,,,
King,01/08/2025,47.27,15.15/h,,,,,,,,,,,
King,02/08/2025,42.9,18.19/h,,,,,,,,,,,
King,03/08/2025,0,14.92/h,,,,,,,,,,,
King,04/08/2025,23.94,24.96/h,,,,,,,,,,,
King,05/08/2025,48.56,21.29/h,,,,,,,,,,,
King,06/08/2025,93.73,28.73/h,,,,,,,,,,,
King,07/08/2025,25.23,,,,,,,,,,,,
King,08/08/2025,72.12,28.40/h,,,,,,,,,,,
King,09/08/2025,125.4,27.22/h,,,,,,,,,,,
King,10/08/2025,41.62,21.66/h,,,,,,,,,,,
King,11/08/2025,29.16,23.05/h,,,,,,,,,,,
King,12/08/2025,0,,,,,,,,,,,,
King,13/08/2025,97.72,,,,,,,,,,,,
King,14/08/2025,62.11,2.32/h,,,,,,,,,,,
King,15/08/2025,348.49,15.81/h,,,,,,,,,,,
King,16/08/2025,0,23.02/h,,,,,,,,,,,
King,17/08/2025,0,17.24/h,,,,,,,,,,,
King,18/08/2025,0,28.46/h,,,,,,,,,,,
King,19/08/2025,0,15.57/h,,,,,,,,,,,
King,20/08/2025,0,,,,,,,,,,,,
King,21/08/2025,161.97,7.86/h,,,,,,,,,,,
King,22/08/2025,48.96,,,,,,,,,,,,
King,23/08/2025,26.14,57.22/h,,,,,,,,,,,
King,24/08/2025,0,,,,,,,,,,,,
King,25/08/2025,45.99,16.12/h,,,,,,,,,,,
King,26/08/2025,66.71,19.96/h,,,,,,,,,,,
King,27/08/2025,60.25,,,,,,,,,,,,
King,28/08/2025,204.53,22.42/h,,,,,,,,,,,
King,29/08/2025,57.35,,,,,,,,,,,,
King,30/08/2025,22.63,,,,,,,,,,,,
King,31/08/2025,0,,,,,,,,,,,,
King,01/09/2025,0,,,,,,,,,,,,
King,02/09/2025,0,,,,,,,,,,,,
King,03/09/2025,0,29.11/h,,,,,,,,,,,
King,04/09/2025,0,14.87/h,,,,,,,,,,,
King,05/09/2025,45.61,62.81/h,,,,,,,,,,,
King,06/09/2025,50.33,23.61/h,,,,,,,,,,,
King,07/09/2025,0,16.63/h,,,,,,,,,,,
King,08/09/2025,0,27.22/h,,,,,,,,,,,
King,09/09/2025,0,,,,,,,,,,,,
King,10/09/2025,0,19.51/h,,,,,,,,,,,
King,11/09/2025,0,,,,,,,,,,,,
King,12/09/2025,0,12.45/h,,,,,,,,,,,
King,13/09/2025,0,16.93/h,,,,,,,,,,,
King,14/09/2025,0,15.72/h,,,,,,,,,,,
King,15/09/2025,0,13.45/h,,,,,,,,,,,
King,16/09/2025,0,,,,,,,,,,,,
King,17/09/2025,113.25,20.74/h,,,,,,,,,,,
King,18/09/2025,0,36.97/h,,,,,,,,,,,
King,19/09/2025,48.6,32.92/h,,,,,,,,,,,
King,20/09/2025,82.7,54.95/h,,,,,,,,,,,
King,21/09/2025,0,15.50/h,,,,,,,,,,,
King,22/09/2025,568.21,29.90/h,,,,,,,,,,,
King,23/09/2025,52.05,,,,,,,,,,,,
King,24/09/2025,53.92,,,,,,,,,,,,
King,25/09/2025,136.72,72.25/h,,,,,,,,,,,
King,26/09/2025,18.87,9.42/h,,,,,,,,,,,
King,27/09/2025,56.45,,,,,,,,,,,,
King,28/09/2025,0,18.27/h,,,,,,,,,,,
King,29/09/2025,94.45,31.66/h,,,,,,,,,,,
King,30/09/2025,60.97,,,,,,,,,,,,
King,01/10/2025,102.82,,,,,,,,,,,,
King,02/10/2025,82.01,,,,,,,,,,,,
King,03/10/2025,57.81,28.31/h,,,,,,,,,,,
King,04/10/2025,86.41,18.64/h,,,,,,,,,,,
King,05/10/2025,10.25,19.55/h,,,,,,,,,,,
King,06/10/2025,38.93,,,,,,,,,,,,
King,07/10/2025,89.23,,,,,,,,,,,,
King,08/10/2025,51.56,15.06/h,,,,,,,,,,,
King,09/10/2025,0,33.11/h,,,,,,,,,,,
King,10/10/2025,148.24,14.42/h,,,,,,,,,,,
King,11/10/2025,240.91,,,,,,,,,,,,
King,12/10/2025,0,32.04/h,,,,,,,,,,,
King,13/10/2025,143.38,10.68/h,,,,,,,,,,,
King,14/10/2025,301.18,,,,,,,,,,,,
King,15/10/2025,121.14,12.16/h,,,,,,,,,,,
King,16/10/2025,34.94,,,,,,,,,,,,
King,17/10/2025,17.32,,,,,,,,,,,,
King,18/10/2025,25.56,21.89/h,,,,,,,,,,,
King,19/10/2025,0,16.00/h,,,,,,,,,,,
King,20/10/2025,214.16,,,,,,,,,,,,
King,21/10/2025,68.46,17.03/h,,,,,,,,,,,
King,22/10/2025,38.69,10.89/h,,,,,,,,,,,
King,23/10/2025,51.27,10.03/h,,,,,,,,,,,
King,24/10/2025,58.42,18.99/h,,,,,,,,,,,
King,25/10/2025,61.42,,,,,,,,,,,,
King,26/10/2025,63.25,19.17/h,,,,,,,,,,,
King,27/10/2025,43.43,,,,,,,,,,,,
King,28/10/2025,102.58,52.20/h,,,,,,,,,,,
King,29/10/2025,178.22,49.25/h,,,,,,,,,,,
King,30/10/2025,106.83,0.85/h,,,,,,,,,,,
King,31/10/2025,13.11,,,,,,,,,,,,
King,01/11/2025,0,,,,,,,,,,,,
King,02/11/2025,0,15.88/h,,,,,,,,,,,
King,03/11/2025,17.25,11.45/h,,,,,,,,,,,
King,04/11/2025,0,,,,,,,,,,,,
King,05/11/2025,0,,,,,,,,,,,,
King,06/11/2025,221.53,0.27/h,,,,,,,,,,,
King,07/11/2025,113.78,,,,,,,,,,,,
King,08/11/2025,44.95,,,,,,,,,,,,
King,09/11/2025,0,11.42/h,,,,,,,,,,,
King,10/11/2025,46.66,21.71/h,,,,,,,,,,,
King,11/11/2025,132.59,18.79/h,,,,,,,,,,,
King,12/11/2025,38.34,20.18/h,,,,,,,,,,,
King,13/11/2025,57.54,,,,,,,,,,,,
King,14/11/2025,49.8,20.73/h,,,,,,,,,,,
King,15/11/2025,60.1,24.09/h,,,,,,,,,,,
King,16/11/2025,41.18,23.96/h,,,,,,,,,,,
King,17/11/2025,70.05,16.65/h,,,,,,,,,,,
King,18/11/2025,132.17,19.05/h,,,,,,,,,,,
King,19/11/2025,65.61,16.46/h,,,,,,,,,,,
King,20/11/2025,33.47,27.11/h,,,,,,,,,,,
King,21/11/2025,42.55,,,,,,,,,,,,
King,22/11/2025,299.23,27.64/h,,,,,,,,,,,
King,23/11/2025,0,16.96/h,,,,,,,,,,,
King,24/11/2025,43.59,16.37/h,,,,,,,,,,,
King,25/11/2025,52.93,,,,,,,,,,,,
King,26/11/2025,0,23.74/h,,,,,,,,,,,
King,27/11/2025,0,,,,,,,,,,,,
King,28/11/2025,28.41,,,,,,,,,,,,
King,29/11/2025,74.62,42.50/h,,,,,,,,,,,
King,30/11/2025,0,,,,,,,,,,,,
King,01/12/2025,258.32,,,,,,,,,,,,
King,02/12/2025,29.78,24.72/h,,,,,,,,,,,
King,03/12/2025,128.32,20.90/h,,,,,,,,,,,
King,04/12/2025,0.07,15.71/h,,,,,,,,,,,
King,05/12/2025,58.23,,,,,,,,,,,,
King,06/12/2025,48.31,15.88/h,,,,,,,,,,,
King,07/12/2025,0,29.28/h,,,,,,,,,,,
King,08/12/2025,115.43,,,,,,,,,,,,
King,09/12/2025,63.17,22.19/h,,,,,,,,,,,
King,10/12/2025,113.33,,,,,,,,,,,,
King,11/12/2025,53.53,,,,,,,,,,,,
King,12/12/2025,85.76,20.58/h,,,,,,,,,,,
King,13/12/2025,76.79,34.44/h,,,,,,,,,,,
King,14/12/2025,0,22.31/h,,,,,,,,,,,
King,15/12/2025,76.08,,,,,,,,,,,,
King,16/12/2025,118.02,43.22/h,,,,,,,,,,,
King,17/12/2025,32.39,29.87/h,,,,,,,,,,,
King,18/12/2025,66.76,23.91/h,,,,,,,,,,,
King,19/12/2025,120.32,35.93/h,,,,,,,,,,,
King,20/12/2025,41.48,37.67/h,,,,,,,,,,,
